"","individual.ID","Species.x","term","estimate","std.error","statistic","p.value","X","ID","Intercept","umol.L.sec","K","Temp.C","Date","Chamber.Channel","Run","Species.y","Temp.Cat","Start.time","Stop.Time","Light_Dark","Organism.ID","Volume","AFDW","Blank","umol.sec","blank.rate","umol.sec.corr","umol.cm2.hr","log.rate","rate.type"
"1","Bgran_1","Bgran","lnc",3.52953090233952,555.50802309343,0.00635369923675412,0.995329404590384,1,"Bgran_1_20C",198.6860249,-0.002735502,293.3146182,20.16461818,"6/25/21",1,4,"Bgran",20,"7/25/23 9:03","7/25/23 9:58","Dark","Bgran_1",0.655,0.412,0,-0.001791754,-0.0001522,-0.001639554,14.3261988,2.662089945,"R"
"2","Bgran_1","Bgran","lnc",3.52953090233952,555.50802309343,0.00635369923675412,0.995329404590384,2,"Bgran_1_24C",200.6076283,-0.004278487,297.2783585,24.12835849,"6/25/21",1,4,"Bgran",24,"7/25/23 10:28","7/25/23 11:21","Dark","Bgran_1",0.655,0.412,0,-0.002802409,-0.0006296,-0.002172809,18.98571218,2.943686706,"R"
"3","Bgran_1","Bgran","lnc",3.52953090233952,555.50802309343,0.00635369923675412,0.995329404590384,3,"Bgran_1_28C",181.268127,-0.006021533,301.1898656,28.03986559,"6/25/21",1,4,"Bgran",28,"7/25/23 12:16","7/25/23 13:02","Dark","Bgran_1",0.655,0.412,0,-0.003944104,-0.0013902,-0.002553904,22.31566977,3.105289112,"R"
"4","Bgran_1","Bgran","lnc",3.52953090233952,555.50802309343,0.00635369923675412,0.995329404590384,4,"Bgran_1_30C",165.8590638,-0.005298955,302.9345316,29.78453165,"6/25/21",1,4,"Bgran",30,"7/25/23 13:38","7/25/23 14:18","Dark","Bgran_1",0.655,0.412,0,-0.003470815,-0.0006101,-0.002860715,24.99654238,3.218737511,"R"
"5","Bgran_1","Bgran","lnc",3.52953090233952,555.50802309343,0.00635369923675412,0.995329404590384,5,"Bgran_1_32C",160.8006885,-0.006033918,305.1975208,32.04752083,"6/25/21",1,4,"Bgran",32,"7/25/23 15:03","7/25/23 15:28","Dark","Bgran_1",0.655,0.412,0,-0.003952216,-0.0007077,-0.003244516,28.35014111,3.344632008,"R"
"6","Bgran_1","Bgran","lnc",3.52953090233952,555.50802309343,0.00635369923675412,0.995329404590384,6,"Bgran_1_34C",151.5806637,-0.00757653,307.1704643,34.02046429,"6/25/21",1,4,"Bgran",34,"7/25/23 15:55","7/25/23 16:16","Dark","Bgran_1",0.655,0.412,0,-0.004962627,-0.0011196,-0.003843027,33.57985136,3.513926225,"R"
"7","Bgran_1","Bgran","lnc",3.52953090233952,555.50802309343,0.00635369923675412,0.995329404590384,7,"Bgran_1_36C",146.6637707,-0.008123569,309.3316383,36.1816383,"6/25/21",1,4,"Bgran",36,"7/25/23 16:48","7/25/23 17:12","Dark","Bgran_1",0.655,0.412,0,-0.005320938,-0.0010185,-0.004302438,37.59411716,3.62684758,"R"
"8","Bgran_1","Bgran","E",0.462266673421474,18.4646553732771,0.0250352180463918,0.98159904395278,1,"Bgran_1_20C",198.6860249,-0.002735502,293.3146182,20.16461818,"6/25/21",1,4,"Bgran",20,"7/25/23 9:03","7/25/23 9:58","Dark","Bgran_1",0.655,0.412,0,-0.001791754,-0.0001522,-0.001639554,14.3261988,2.662089945,"R"
"9","Bgran_1","Bgran","E",0.462266673421474,18.4646553732771,0.0250352180463918,0.98159904395278,2,"Bgran_1_24C",200.6076283,-0.004278487,297.2783585,24.12835849,"6/25/21",1,4,"Bgran",24,"7/25/23 10:28","7/25/23 11:21","Dark","Bgran_1",0.655,0.412,0,-0.002802409,-0.0006296,-0.002172809,18.98571218,2.943686706,"R"
"10","Bgran_1","Bgran","E",0.462266673421474,18.4646553732771,0.0250352180463918,0.98159904395278,3,"Bgran_1_28C",181.268127,-0.006021533,301.1898656,28.03986559,"6/25/21",1,4,"Bgran",28,"7/25/23 12:16","7/25/23 13:02","Dark","Bgran_1",0.655,0.412,0,-0.003944104,-0.0013902,-0.002553904,22.31566977,3.105289112,"R"
